iter	Passed	Remaining
305	506547	321144
306	508273	319533
307	509591	317667
308	511330	316064
309	513056	314453
310	514836	312874
311	516130	311001
312	517868	309397
313	519722	307860
314	521296	306158
315	523177	304635
316	524941	303041
317	526382	301263
318	528199	299699
319	530090	298175
320	532023	296673
321	533623	294984
322	535249	293309
323	536871	291633
324	538608	290019
325	540386	288426
326	541847	286665
327	543927	285230
328	547036	284325
329	549230	282936
330	551314	281486
331	554070	280373
332	557691	279683
333	563401	280013
334	567910	279717
335	570611	278512
336	574889	278062
337	579790	277887
338	583693	277211
339	586890	276183
340	589715	274969
341	592451	273705
342	595206	272441
343	597980	271177
344	600735	269895
345	603873	268776
346	607073	267671
347	611045	266893
348	615236	266191
349	617844	264790
350	619783	263098
351	624230	262460
352	627368	261255
353	630863	260186
354	633568	258781
355	636274	257369
356	639238	256053
357	642069	254675
358	645197	253406
359	646927	251582
360	648685	249771
361	650736	248070
362	652892	246408
363	655185	244794
364	657029	243010
365	659179	241338
366	661507	239728
367	663558	238015
368	664957	236069
369	667710	234601
370	669757	232880
371	671361	231006
372	673009	229148
373	675060	227426
374	676977	225659
375	679008	223928
376	680763	222105
377	682552	220294
378	684481	218528
379	686547	216804
380	689035	215210
381	691255	213529
382	694157	212053
383	696165	210299
384	698138	208534
385	699977	206729
386	702049	204991
387	703980	203210
388	706321	201546
389	708236	199758
390	710372	198032
391	712703	196356
392	714154	194439
393	716274	192703
394	718238	190924
395	720936	189336
396	722981	187574
397	724935	185787
398	727224	184084
399	728897	182224
400	730827	180428
401	732592	178592
402	734596	176813
403	736566	175025
404	738248	173169
405	739867	171299
406	742157	169583
407	744438	167863
408	746477	166086
409	748466	164297
410	750808	162583
411	753052	160846
412	754989	159041
413	756830	157215
414	758756	155407
415	760959	153655
416	762613	151791
417	764382	149950
418	766306	148140
419	768142	146312
420	769690	144431
421	771689	142634
422	773789	140855
423	775608	139024
424	778013	137296
425	780239	135534
426	781766	133650
427	783661	131830
428	785887	130065
429	787817	128249
430	789653	126417
431	791282	124553
432	792882	122686
433	794917	120886
434	796854	119070
435	798800	117255
436	800675	115429
437	802668	113619
438	804611	111802
439	806342	109955
440	808087	108111
441	809587	106235
442	811164	104371
443	813179	102563
444	815250	100761
445	817130	98935
446	819020	97109
447	820629	95251
448	822404	93413
449	824288	91587
450	826042	89747
451	827789	87906
452	829799	86094
453	831830	84282
454	834809	82563
455	837323	80794
456	840507	79084
457	842903	77296
458	844739	75456
459	846984	73650
460	849160	71837
461	850454	69950
462	852319	68111
463	854133	66269
464	856275	64450
465	858323	62624
466	859958	60767
467	861765	58924
468	863855	57099
469	865585	55250
470	867476	53411
471	869351	51571
472	871428	49743
473	873190	47896
474	875134	46059
475	877081	44222
476	879072	42387
477	880668	40532
478	882728	38699
479	884277	36844
480	885898	34993
481	887890	33157
482	889397	31303
483	891284	29463
484	893094	27621
485	894973	25781
486	896713	23936
487	898744	22100
488	900649	20260
489	902760	18423
490	904483	16579
491	906448	14738
492	908152	12894
493	910045	11053
494	912112	9213
495	913915	7370
496	915747	5527
497	917810	3685
498	919676	1843
499	921325	0
