iter	Logloss
221	0.1063573259
222	0.1062515399
223	0.1062084494
224	0.106139538
225	0.1061035534
226	0.1060460418
227	0.1059579248
228	0.1059287309
229	0.1058904055
230	0.1058874841
231	0.1058207882
232	0.1057823961
233	0.1057423767
234	0.1057320656
235	0.1056905837
236	0.1056666542
237	0.1056006923
238	0.1055600485
239	0.1055600295
240	0.1055409254
241	0.1055116617
242	0.1054987038
243	0.1054754282
244	0.105418148
245	0.1053197892
246	0.1053184382
247	0.1052777949
248	0.1052462129
249	0.1052156755
250	0.1051773579
251	0.1051722308
252	0.1051481103
253	0.1050829497
254	0.1050817219
255	0.1050808234
256	0.1050507947
257	0.105050695
258	0.1049825194
259	0.1049124485
260	0.1048413789
261	0.1047670391
262	0.1047242771
263	0.1047221231
264	0.1046607833
265	0.1046238545
266	0.1045943172
267	0.1045730505
268	0.1045457284
269	0.1045291188
270	0.1044728796
271	0.1044578287
272	0.104344797
273	0.1042766875
274	0.1042484431
275	0.1042275539
276	0.1041917144
277	0.1041630315
278	0.1041176478
279	0.1041093268
280	0.1040339982
281	0.1039920675
282	0.1039814923
283	0.1039362633
284	0.1038878291
285	0.1038531984
286	0.1038293898
287	0.1038271629
288	0.1037549154
289	0.1037249263
290	0.1036726925
291	0.1036232851
292	0.1035789873
293	0.1035578917
294	0.1035123931
295	0.1034929677
296	0.1034929661
297	0.1034803111
298	0.1034438864
299	0.1034181228
300	0.1034099339
301	0.103377366
302	0.1033283996
303	0.1032953315
304	0.1032698853
305	0.1032089712
306	0.1031649034
307	0.1031449543
308	0.103129993
309	0.1031071941
310	0.1030408726
311	0.1030081703
312	0.1029810137
313	0.1029422802
314	0.1028814878
315	0.102858753
316	0.1028121545
317	0.1027771738
318	0.102731443
319	0.1027187354
320	0.1026799739
321	0.102672241
322	0.1026385604
323	0.1026103693
324	0.1025720924
325	0.1025398845
326	0.1024950447
327	0.1024732756
328	0.1024235752
329	0.1023901202
330	0.1023391951
331	0.1023034031
332	0.102276104
333	0.1022476434
334	0.1022421016
335	0.1022165285
336	0.1021679663
337	0.1021216968
338	0.1020988799
339	0.1020799087
340	0.1020118502
341	0.1019543154
342	0.1019248278
343	0.1018631966
344	0.1018453893
345	0.1018172668
346	0.1017842408
347	0.1017515691
348	0.1017004634
349	0.101649866
350	0.1016017621
351	0.1015906324
352	0.1015375382
353	0.1015071866
354	0.1014729266
355	0.1014477808
356	0.1013958084
357	0.1013331886
358	0.101280591
359	0.1012613702
360	0.1011905454
361	0.1010972889
362	0.101064432
363	0.1010263819
364	0.1010015542
365	0.1009838426
366	0.1009708688
367	0.1009670176
368	0.1009379882
369	0.1009273414
370	0.1009234916
371	0.1008831082
372	0.1008536257
373	0.1008042072
374	0.1007722245
375	0.1007451401
376	0.1007032924
377	0.1006553309
378	0.1006341115
379	0.1005833932
380	0.1005528078
381	0.1005251511
382	0.1004901906
383	0.1004644608
384	0.1004230231
385	0.1003980236
386	0.1003743767
387	0.1003454689
388	0.1003188224
389	0.1002880112
390	0.100279406
391	0.1002529465
392	0.100222606
393	0.1002036997
394	0.1001807257
395	0.100180062
396	0.10017031
397	0.100153049
398	0.1001233684
399	0.1000841817
400	0.100082499
401	0.1000484264
402	0.1000249994
403	0.09999344286
404	0.09997829599
405	0.09989566967
406	0.09986698149
407	0.09980583269
408	0.09977429055
409	0.09976496957
410	0.09974673241
411	0.09971432077
412	0.09968114947
413	0.09966540061
414	0.09962508466
415	0.09958635622
416	0.09951765939
417	0.0994886134
418	0.09945838324
419	0.09943048087
420	0.09941162934
421	0.09937172764
422	0.09934487412
423	0.09932876419
424	0.09928952096
425	0.09926742558
426	0.0992499755
427	0.09921937647
428	0.09920532772
429	0.09920410308
430	0.09920274295
431	0.09916214817
432	0.09912453199
433	0.09909365828
434	0.09905560557
435	0.09899110442
436	0.09895550383
437	0.09894119468
438	0.09890249658
439	0.09887384942
440	0.09883718204
441	0.09882744985
442	0.09876036321
443	0.09870883815
444	0.09868974705
445	0.09867306708
446	0.09865348316
447	0.09863093011
448	0.0986119023
449	0.09859353136
450	0.09856798362
451	0.09852933036
452	0.09852262819
453	0.09850301392
454	0.09849458903
455	0.09849457294
456	0.09847786727
457	0.09844660316
458	0.09840575231
459	0.09838809675
460	0.09838731347
461	0.09837673463
462	0.09837043728
463	0.09835030893
464	0.09831649501
465	0.0983124557
466	0.09828148195
467	0.09825348617
468	0.09821347797
469	0.09818291466
470	0.09818092822
471	0.09812344852
472	0.09808307607
473	0.0980289129
474	0.09798941426
475	0.09797651647
476	0.09796288231
477	0.09791794333
478	0.09788110786
479	0.09785437811
480	0.09781296182
481	0.09778294785
482	0.097725003
483	0.09767065431
484	0.0976674979
485	0.09764946879
486	0.09757772159
487	0.09754880326
488	0.09751387711
489	0.09747933817
490	0.0974703539
491	0.09745298826
492	0.09744005118
493	0.09743735359
494	0.09740987126
495	0.09739995772
496	0.09734117894
497	0.09729532199
498	0.09727391907
499	0.09724878732
500	0.09720536445
501	0.09719266055
502	0.09716275262
503	0.09713537742
504	0.09712155332
505	0.09706540823
506	0.09704526728
507	0.09703765883
508	0.09699779203
509	0.09697500734
510	0.09693308407
511	0.09690820429
512	0.09689492528
513	0.09688100722
514	0.09684540595
515	0.09683117644
516	0.09681627434
517	0.09679449591
518	0.09673756877
519	0.09670609553
520	0.09668676108
521	0.09664742345
522	0.09663069605
523	0.09658890133
524	0.09658032017
525	0.09653669432
526	0.0965282833
527	0.09648178837
528	0.09646454407
529	0.09644120803
530	0.09644076203
531	0.09640659737
532	0.09639107692
533	0.09636561279
534	0.09635359112
535	0.09632652003
536	0.0963179342
537	0.09630351964
538	0.09628859533
539	0.09627331638
540	0.09623400015
541	0.09618314167
542	0.09614764004
543	0.09612923548
544	0.09610310779
545	0.09602231738
546	0.0960138029
547	0.09597126093
548	0.09593355515
549	0.09590386688
550	0.09586610502
551	0.09582329315
552	0.09578930317
553	0.09576479998
554	0.09574680077
555	0.09572414515
556	0.0956858253
557	0.09565197192
558	0.09562274313
559	0.09558044179
560	0.09554107633
561	0.09553388867
562	0.0955084905
563	0.09549722288
564	0.09543127457
565	0.0953729593
566	0.09535310384
567	0.09532500498
568	0.09530038094
569	0.09528576943
570	0.09525816962
571	0.09523455963
572	0.09523006053
573	0.0952056803
574	0.09514036316
575	0.09513219613
576	0.09511121611
577	0.09510815573
578	0.09509725842
579	0.09504241018
580	0.09501357979
581	0.09500261024
582	0.09496421827
583	0.09494523344
584	0.09491975406
585	0.0948840316
586	0.09486132217
587	0.09480217196
588	0.09479073663
589	0.09477351966
590	0.09476890197
591	0.0947572928
592	0.09472514611
593	0.09469673668
594	0.09468120713
595	0.09467484206
596	0.09466874241
597	0.09464232165
598	0.09460940891
599	0.09458893007
600	0.09458430696
601	0.09457068647
602	0.09453551808
603	0.09452869037
604	0.09451404355
605	0.09449500415
606	0.09447955693
607	0.0944418234
608	0.09442101855
609	0.09441826514
610	0.0943883853
611	0.09435263215
612	0.0943172625
613	0.09428959938
614	0.09425050318
615	0.09421198811
616	0.09419733574
617	0.09414279829
618	0.09411722787
619	0.09408869168
620	0.09405683562
621	0.09404615076
622	0.09404612599
623	0.09400363341
624	0.09397825353
625	0.09396566149
626	0.09393395084
627	0.09393089969
628	0.09384400532
629	0.09383297324
630	0.09379910552
631	0.09378732624
632	0.09375580455
633	0.09373298867
634	0.09370837548
635	0.09367979323
636	0.09367499303
637	0.09366752444
638	0.09362841811
639	0.09362268869
640	0.09358742243
641	0.09353252131
642	0.0935319848
643	0.09349177667
644	0.09346655448
645	0.09345444933
646	0.09344280165
647	0.09342284687
648	0.09339592909
649	0.09336980043
650	0.09336895705
651	0.09333287555
652	0.09332542156
653	0.09327627423
654	0.09324812376
655	0.09322007528
656	0.09320085588
657	0.09318635394
658	0.09316882563
659	0.09315619637
660	0.09312267002
661	0.09311450735
662	0.0930721595
663	0.09302364917
664	0.09299886993
665	0.09295324179
666	0.09291890969
667	0.09291838483
668	0.09291663965
669	0.09289397225
670	0.09287754224
671	0.09284744733
672	0.09281779488
673	0.0927966306
674	0.09277359013
675	0.09276050784
676	0.09276049252
677	0.09270371279
678	0.09267578031
679	0.09264736461
680	0.09260454969
681	0.09256072945
682	0.09255216084
683	0.09254361999
684	0.09254211315
685	0.0925086215
686	0.09248763645
687	0.09246343948
688	0.0924382174
689	0.09243797666
690	0.09239963421
691	0.09239958896
692	0.0923634152
693	0.09236340905
694	0.09235961746
695	0.09234869362
696	0.09230600234
697	0.0922903005
698	0.09226922148
699	0.09225737546
