iter	Logloss
0	0.3857082219
1	0.2867072515
2	0.2374182083
3	0.2111543352
4	0.1788523059
5	0.1630769101
6	0.1523739747
7	0.1473299308
8	0.1430929571
9	0.1405479284
10	0.1379157523
11	0.1347701337
12	0.1322954002
13	0.1310492615
14	0.1303690209
15	0.1298203656
16	0.1291044055
17	0.1282292703
18	0.1276058637
19	0.127092323
20	0.1267665823
21	0.1264691163
22	0.1261210047
23	0.12578909
24	0.1253153754
25	0.1249211702
26	0.1245571713
27	0.124349732
28	0.1241633932
29	0.1239030589
30	0.1235072909
31	0.1232959547
32	0.1231868326
33	0.123087568
34	0.1229348279
35	0.1225954303
36	0.122382469
37	0.1220951736
38	0.1219332351
39	0.1217222504
40	0.1215947771
41	0.1214209547
42	0.1212407953
43	0.1209408263
44	0.1208097462
45	0.1206880181
46	0.1206085815
47	0.1204279794
48	0.120269385
49	0.1200866225
50	0.1199760198
51	0.1198539697
52	0.1198419512
53	0.1197483898
54	0.1196582607
55	0.1195920018
56	0.11953373
57	0.119442916
58	0.1193194709
59	0.1191580406
60	0.1189079967
61	0.1188258474
62	0.1187118986
63	0.1185668089
64	0.1184214561
65	0.1183299925
66	0.1181437333
67	0.117997593
68	0.1178749352
69	0.1177878482
70	0.1176222767
71	0.117549853
72	0.1174308283
73	0.1173059233
74	0.1171916117
75	0.1170204163
76	0.1169806438
77	0.1168888203
78	0.1167437597
79	0.1164909918
80	0.1163279135
81	0.1161973514
82	0.1160797293
83	0.115945862
84	0.1157784659
85	0.1155913299
86	0.1153510418
87	0.1152384035
88	0.1151695262
89	0.1150546112
90	0.1149364307
91	0.1147392
92	0.1146793981
93	0.1145693229
94	0.1143557739
95	0.1142561821
96	0.1141036138
97	0.1140644572
98	0.1139510968
99	0.1137957607
100	0.1136408922
101	0.1135978254
102	0.1135380657
103	0.1134545408
104	0.1133972808
105	0.1132921405
106	0.1132301902
107	0.113126256
108	0.1130470211
109	0.1129747247
110	0.1129085054
111	0.1128207971
112	0.1126942485
113	0.1125170852
114	0.1124310024
115	0.112299732
116	0.1121920399
117	0.11209315
118	0.1119643678
119	0.1119235804
120	0.1118824672
121	0.1117875623
122	0.1117695068
123	0.1117052141
124	0.1116339479
125	0.1115489981
126	0.1114580203
127	0.1114131685
128	0.1113630128
129	0.1113342576
130	0.1112301172
131	0.1111288075
132	0.1110883242
133	0.1110476749
134	0.1109519515
135	0.1108896753
136	0.1108332883
137	0.110728007
138	0.1106704651
139	0.1106206915
140	0.1105900142
141	0.1105345372
142	0.1104565991
143	0.11035414
144	0.1103102637
145	0.1102141325
146	0.1101919827
147	0.1101331443
148	0.1100479112
149	0.1099440614
150	0.1099090524
151	0.1098331187
152	0.1097874391
153	0.1097526446
154	0.1097010294
155	0.1096380432
156	0.1095665611
157	0.1095100788
158	0.1094588165
159	0.1094479586
160	0.1094240925
161	0.1093827202
162	0.1093174328
163	0.1092506802
164	0.1092412394
165	0.1091558282
166	0.1090446633
167	0.1090016242
168	0.1089756542
169	0.1088479904
170	0.1087774354
171	0.1087135009
172	0.1086599544
173	0.1085800503
174	0.1085308291
175	0.1084685352
176	0.108464005
177	0.1084610699
178	0.1083924845
179	0.1083361471
180	0.1082738436
181	0.1082487343
182	0.1082027608
183	0.1081611397
184	0.1081357525
185	0.1080720025
186	0.108009124
187	0.1079887252
188	0.1079190613
189	0.1078839201
190	0.1078581373
191	0.1078194631
192	0.1077365663
193	0.1076690798
194	0.1076384703
195	0.1076129951
196	0.107532032
197	0.1074914353
198	0.1074688549
199	0.1074406626
200	0.1073786643
201	0.1073770537
202	0.1073163827
203	0.1073159041
204	0.1072766502
205	0.1072086151
206	0.1072041747
207	0.1071295344
208	0.1070580476
209	0.1070194424
210	0.1069698728
211	0.1069292182
212	0.1068507291
213	0.1067421572
214	0.1066768662
215	0.1065695258
216	0.1065512379
217	0.1065126383
218	0.1065126109
219	0.1064980005
220	0.106441213
