iter	Logloss
0	0.3893750232
1	0.2894816956
2	0.2407324401
3	0.2128615064
4	0.1977274255
5	0.1765238976
6	0.1657555002
7	0.1594937106
8	0.1554333725
9	0.1532301051
10	0.1491174519
